Date,Revenue
2020-04-30,1021
2020-01-31,2194
2019-10-31,1439
2019-07-31,1286
2019-04-30,1548
2019-01-31,3063
2018-10-31,1935
2018-07-31,1501
2018-04-30,1786
2018-01-31,2825
2017-10-31,1989
2017-07-31,1688
2017-04-30,2046
2017-01-31,2403
2016-10-31,1959
2016-07-31,1632
2016-04-30,1972
2016-01-31,3525
2015-10-31,2016
2015-07-31,1762
2015-04-30,2061
2015-01-31,3476
2014-10-31,2092
2014-07-31,1731
2014-04-30,1996
2014-01-31,3684
2013-10-31,2107
2013-07-31,1384
2013-04-30,1865
2013-01-31,3562
2012-10-31,1773
2012-07-31,1550
2012-04-30,2002
2012-01-31,3579
2011-10-31,1947
2011-07-31,1744
2011-04-30,2281
2011-01-31,3693
2010-10-31,1899
2010-07-31,1799
2010-04-30,2083
2010-01-31,3524
2009-10-31,1835
2009-07-31,1739
2009-04-30,1981
2009-01-31,3492
2008-10-31,1696
2008-07-31,1804
2008-04-30,1814
2008-01-31,2866
2007-10-31,1611
2007-07-31,1338
2007-04-30,1279
2007-01-31,2304
2006-10-31,1012
2006-07-31,963
2006-04-30,1040
2006-01-31,1667
2005-10-31,534
2005-07-31,416
2005-04-30,475
2005-01-31,709
