Date,Revenue
2022-09-30,21454
2022-06-30,16934
2022-03-31,18756
2021-12-31,17719
2021-09-30,13757
2021-06-30,11958
2021-03-31,10389
2020-12-31,10744
2020-09-30,8771
2020-06-30,6036
2020-03-31,5985
2019-12-31,7384
2019-09-30,6303
2019-06-30,6350
2019-03-31,4541
2018-12-31,7226
2018-09-30,6824
2018-06-30,4002
2018-03-31,3409
2017-12-31,3288
2017-09-30,2985
2017-06-30,2790
2017-03-31,2696
2016-12-31,2285
2016-09-30,2298
2016-06-30,1270
2016-03-31,1147
2015-12-31,1214
2015-09-30,937
2015-06-30,955
2015-03-31,940
2014-12-31,957
2014-09-30,852
2014-06-30,769
2014-03-31,621
2013-12-31,615
2013-09-30,431
2013-06-30,405
2013-03-31,562
2012-12-31,306
2012-09-30,50
2012-06-30,27
2012-03-31,30
2011-12-31,39
2011-09-30,58
2011-06-30,58
2011-03-31,49
2010-12-31,36
2010-09-30,31
2010-06-30,28
2010-03-31,21
2009-09-30,46
2009-06-30,27
